lon,lat,windshear
-180.0,-60.0,8.04266058537109
-174.92957746478874,-60.0,9.017257863650848
-169.85915492957747,-60.0,8.127416586996674
-164.7887323943662,-60.0,8.457953826381123
-159.71830985915494,-60.0,7.586046804789848
-154.64788732394365,-60.0,7.558436213786814
-149.57746478873239,-60.0,8.641688193761503
-144.50704225352112,-60.0,8.971661480759723
-139.43661971830986,-60.0,8.66180788321098
-134.3661971830986,-60.0,7.652091656549304
-129.29577464788733,-60.0,7.0870442294269935
-124.22535211267605,-60.0,8.250146524340849
-119.15492957746478,-60.0,8.268350560162986
-114.08450704225352,-60.0,8.634896212249194
-109.01408450704224,-60.0,8.162488236544094
-103.94366197183098,-60.0,7.536421461213044
-98.87323943661971,-60.0,7.532480536438425
-93.80281690140845,-60.0,8.374250792212829
-88.73239436619718,-60.0,8.103485460536898
-83.6619718309859,-60.0,8.202010991425214
-78.59154929577464,-60.0,8.328738330727182
-73.52112676056338,-60.0,7.739880490921254
-68.4507042253521,-60.0,8.521230748228815
-63.38028169014083,-60.0,7.268837347111633
-58.30985915492957,-60.0,8.51917025166056
-53.239436619718305,-60.0,8.654791313444807
-48.16901408450704,-60.0,8.614994835085989
-43.098591549295776,-60.0,8.277780262150266
-38.02816901408448,-60.0,7.008172417998059
-32.95774647887322,-60.0,7.754742736317817
-27.887323943661954,-60.0,7.493388529718168
-22.81690140845069,-60.0,7.635079681922276
-17.746478873239425,-60.0,7.420384759973254
-12.676056338028161,-60.0,7.457739888297091
-7.605633802816897,-60.0,8.23395626127221
-2.535211267605632,-60.0,8.206586283917268
2.535211267605632,-60.0,8.487790240912947
7.605633802816925,-60.0,8.173922179818073
12.67605633802819,-60.0,7.821891098690059
17.746478873239454,-60.0,7.457799575753731
22.81690140845072,-60.0,7.660890770995945
27.887323943661983,-60.0,7.600287950196045
32.95774647887325,-60.0,7.887131157538306
38.02816901408451,-60.0,8.125557147384871
43.098591549295804,-60.0,8.369215396692411
48.16901408450707,-60.0,7.297993415926244
53.23943661971833,-60.0,8.70435653820802
58.3098591549296,-60.0,7.995453337220601
63.38028169014086,-60.0,8.436894062214986
68.45070422535213,-60.0,8.790666541337913
73.52112676056339,-60.0,8.655138166938547
78.59154929577466,-60.0,9.14679373226418
83.66197183098592,-60.0,7.543458892957198
88.73239436619718,-60.0,8.57076791750414
93.80281690140845,-60.0,8.205638223048853
98.87323943661971,-60.0,9.311346161280769
103.94366197183103,-60.0,8.10043841009047
109.0140845070423,-60.0,7.53532207860124
114.08450704225356,-60.0,7.578495250323055
119.15492957746483,-60.0,8.154181654459737
124.22535211267609,-60.0,8.305242628922908
129.29577464788736,-60.0,8.138282776775997
134.36619718309862,-60.0,8.312507824358216
139.43661971830988,-60.0,6.800952089619538
144.50704225352115,-60.0,7.666833710896988
149.5774647887324,-60.0,8.57639358133643
154.64788732394368,-60.0,9.037519848067337
159.71830985915494,-60.0,8.159384098748575
164.7887323943662,-60.0,7.141181738758021
169.85915492957747,-60.0,8.377579438116863
174.92957746478874,-60.0,7.89753729452898
180.0,-60.0,8.38875873958414
-180.0,-55.86206896551724,7.623191705211006
-174.92957746478874,-55.86206896551724,6.738540731028381
-169.85915492957747,-55.86206896551724,7.976082836645558
-164.7887323943662,-55.86206896551724,7.666982670095985
-159.71830985915494,-55.86206896551724,8.191034887887243
-154.64788732394365,-55.86206896551724,8.31341168048419
-149.57746478873239,-55.86206896551724,8.034774082581327
-144.50704225352112,-55.86206896551724,7.15842171785029
-139.43661971830986,-55.86206896551724,7.587527224315258
-134.3661971830986,-55.86206896551724,7.004484095510388
-129.29577464788733,-55.86206896551724,7.146947057536156
